test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,semantic_avg_score,semantic_min_score,semantic_max_score,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_001_cs_beginner_intro_programming,2025-11-01T01:08:39.907959,computer_science,beginner,Introduction to Programming,160,49.77,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.404,0.294,0.517,0,0,0,,0,
test_002_cs_beginner_web_fundamentals,2025-11-01T01:09:34.284123,computer_science,beginner,Web Development Fundamentals,131,54.375,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,8.0,1,1.0,0.9,0.8,0.333,0.0,970,205,20,0.0,0.272,0.18,0.483,0,0,0,,0,
test_003_cs_beginner_databases,2025-11-01T01:10:29.128197,computer_science,beginner,Database Systems Fundamentals,110,54.843,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,8.0,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.322,0.234,0.436,0,0,0,,0,
test_004_cs_intermediate_data_structures,2025-11-01T01:12:07.274796,computer_science,intermediate,Data Structures and Algorithms,162,98.146,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.167,0.0,970,402,20,0.0,0.734,0.728,0.751,0,0,0,,0,
test_005_cs_intermediate_oop,2025-11-01T01:13:42.802349,computer_science,intermediate,Object-Oriented Programming,128,95.527,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.3,1,1.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0.506,0.491,0.521,0,0,0,,0,
test_006_cs_intermediate_web_backend,2025-11-01T01:15:19.267368,computer_science,intermediate,Backend Web Development,155,96.464,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,402,20,0.0,0.456,0.411,0.651,0,0,0,,0,
test_007_cs_advanced_machine_learning,2025-11-01T01:16:54.587580,computer_science,advanced,Machine Learning,158,95.319,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.43,0.422,0.443,0,0,0,,0,
test_008_cs_advanced_distributed_systems,2025-11-01T01:18:25.508137,computer_science,advanced,Distributed Systems,144,90.92,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.412,0.404,0.44,0,0,0,,0,
test_009_cs_advanced_compilers,2025-11-01T01:19:59.100112,computer_science,advanced,Compiler Design,137,93.591,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.333,0.0,970,372,20,0.0,0.471,0.447,0.505,0,0,0,,0,
test_010_cs_beginner_python_basics,2025-11-01T01:20:49.490572,computer_science,beginner,Python Programming,148,50.389,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,8.0,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.505,0.282,0.767,0,0,0,,0,
test_011_math_beginner_calculus,2025-11-01T01:21:19.827913,mathematics,beginner,Calculus I,160,30.336,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.5,0.0,970,113,20,0.0,0.493,0.45,0.711,0,0,0,,0,
test_012_math_beginner_linear_algebra,2025-11-01T01:21:56.631293,mathematics,beginner,Linear Algebra,154,36.802,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.167,0.0,970,113,20,0.0,0.491,0.451,0.562,0,0,0,,0,
test_013_math_beginner_statistics,2025-11-01T01:22:31.958009,mathematics,beginner,Introduction to Statistics,153,35.326,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.667,0.0,970,113,20,0.0,0.432,0.394,0.487,0,0,0,,0,
test_014_math_intermediate_real_analysis,2025-11-01T01:23:23.167006,mathematics,intermediate,Real Analysis,148,51.208,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,221,20,0.0,0.378,0.327,0.573,0,0,0,,0,
test_015_math_intermediate_abstract_algebra,2025-11-01T01:24:13.958209,mathematics,intermediate,Abstract Algebra,144,50.79,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.167,0.0,970,221,20,0.0,0.293,0.269,0.332,0,0,0,,0,
test_016_math_advanced_topology,2025-11-01T01:25:09.558638,mathematics,advanced,Topology,138,55.599,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,231,20,0.0,0.207,0.189,0.293,0,0,0,,0,
test_017_math_advanced_differential_equations,2025-11-01T01:26:04.704515,mathematics,advanced,Partial Differential Equations,151,55.145,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,231,20,0.0,0.334,0.322,0.359,0,0,0,,0,
test_018_math_beginner_discrete_math,2025-11-01T01:26:40.445843,mathematics,beginner,Discrete Mathematics,113,35.74,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,113,20,0.0,0.339,0.312,0.374,0,0,0,,0,
test_019_physics_beginner_mechanics,2025-11-01T01:26:53.885336,physics,beginner,Classical Mechanics,136,13.438,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,12,12,0.0,0.379,0.237,0.743,0,0,0,,0,
test_020_physics_beginner_electricity,2025-11-01T01:27:10.197308,physics,beginner,Electricity and Magnetism,163,16.31,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0.491,0.172,0.772,0,0,0,,0,
test_021_physics_intermediate_quantum,2025-11-01T01:27:27.848908,physics,intermediate,Quantum Mechanics I,135,17.65,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,27,20,0.0,0.389,0.234,0.622,0,0,0,,0,
test_022_physics_intermediate_thermodynamics,2025-11-01T01:27:45.262839,physics,intermediate,Thermodynamics and Statistical Mechanics,143,17.413,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,27,20,0.0,0.305,0.257,0.439,0,0,0,,0,
test_023_physics_advanced_particle_physics,2025-11-01T01:28:06.369423,physics,advanced,Particle Physics,149,21.105,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.333,0.9,0.8,0.5,0.0,970,37,20,0.0,0.258,0.202,0.412,0,0,0,,0,
test_024_physics_beginner_waves_optics,2025-11-01T01:28:16.585015,physics,beginner,Waves and Optics,139,10.214,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,12,12,0.0,0.447,0.105,0.716,0,0,0,,0,
test_025_edge_very_long_description,2025-11-01T01:29:54.487373,computer_science,intermediate,Software Engineering,1548,97.901,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,8.0,1,1.0,0.9,0.8,0.167,0.0,970,402,20,0.0,0.501,0.491,0.529,0,0,0,,0,
test_026_edge_intensive_bootcamp,2025-11-01T01:30:49.875276,computer_science,beginner,Full-Stack Web Development Bootcamp,165,55.387,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,205,20,0.0,0.216,0.083,0.426,0,0,0,,0,
test_027_edge_contradictory_beginner_quantum,2025-11-01T01:31:01.489427,physics,beginner,Quantum Computing for Beginners,158,11.613,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0.28,0.127,0.37,0,0,0,,0,
test_028_edge_minimal_metadata,2025-11-01T01:31:56.235299,mathematics,intermediate,Cryptography,88,54.745,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,221,20,0.0,0.328,0.301,0.364,0,0,0,,0,
test_029_edge_postgraduate_advanced_nlp,2025-11-01T01:33:30.597283,computer_science,postgraduate,Advanced Natural Language Processing,154,94.361,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.333,0.0,970,372,20,0.0,0.452,0.439,0.467,0,0,0,,0,
test_030_cs_intermediate_operating_systems,2025-11-01T01:35:08.990616,computer_science,intermediate,Operating Systems,138,98.392,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0.447,0.437,0.475,0,0,0,,0,
test_031_math_intermediate_probability,2025-11-01T01:36:05.381250,mathematics,intermediate,Probability Theory,160,56.389,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,221,20,0.0,0.356,0.335,0.383,0,0,0,,0,
test_032_cs_advanced_computer_vision,2025-11-01T01:37:40.201275,computer_science,advanced,Computer Vision,138,94.818,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.466,0.455,0.483,0,0,0,,0,
