test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_001_cs_beginner_intro_programming,2025-10-30T23:05:15.741171,computer_science,beginner,Introduction to Programming,160,13.441,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,7.7,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0,0,0,,0,
test_002_cs_beginner_web_fundamentals,2025-10-30T23:05:30.393687,computer_science,beginner,Web Development Fundamentals,131,14.652,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,2,6,8.0,1,1.0,0.9,0.8,0.333,0.0,970,205,20,0.0,0,0,0,,0,
test_003_cs_beginner_databases,2025-10-30T23:05:43.072033,computer_science,beginner,Database Systems Fundamentals,110,12.677,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0,0,0,,0,
test_004_cs_intermediate_data_structures,2025-10-30T23:06:05.445361,computer_science,intermediate,Data Structures and Algorithms,162,22.372,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0,0,0,,0,
test_005_cs_intermediate_oop,2025-10-30T23:06:27.842703,computer_science,intermediate,Object-Oriented Programming,128,22.396,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0,0,0,,0,
test_006_cs_intermediate_web_backend,2025-10-30T23:06:49.643746,computer_science,intermediate,Backend Web Development,155,21.8,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.667,0.0,970,402,20,0.0,0,0,0,,0,
test_007_cs_advanced_machine_learning,2025-10-30T23:07:11.234444,computer_science,advanced,Machine Learning,158,21.59,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0,0,0,,0,
test_008_cs_advanced_distributed_systems,2025-10-30T23:07:32.330706,computer_science,advanced,Distributed Systems,144,21.095,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0,0,0,,0,
test_009_cs_advanced_compilers,2025-10-30T23:07:52.565106,computer_science,advanced,Compiler Design,137,20.23,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0,0,0,,0,
test_010_math_beginner_calculus,2025-10-30T23:08:02.255116,mathematics,beginner,Calculus I,160,9.689,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,113,20,0.0,0,0,0,,0,
test_011_math_beginner_linear_algebra,2025-10-30T23:08:18.251990,mathematics,beginner,Linear Algebra,154,15.992,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,113,20,0.0,0,0,0,,0,
test_012_math_beginner_statistics,2025-10-30T23:08:33.310860,mathematics,beginner,Introduction to Statistics,153,15.058,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.667,0.0,970,113,20,0.0,0,0,0,,0,
test_013_math_intermediate_real_analysis,2025-10-30T23:08:45.202474,mathematics,intermediate,Real Analysis,148,11.891,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.5,0.0,970,221,20,0.0,0,0,0,,0,
test_014_math_intermediate_abstract_algebra,2025-10-30T23:08:59.073004,mathematics,intermediate,Abstract Algebra,144,13.87,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,221,20,0.0,0,0,0,,0,
test_015_math_advanced_topology,2025-10-30T23:09:14.031230,mathematics,advanced,Topology,138,14.957,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,231,20,0.0,0,0,0,,0,
test_016_math_advanced_differential_equations,2025-10-30T23:09:30.565160,mathematics,advanced,Partial Differential Equations,151,16.533,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.333,0.0,970,231,20,0.0,0,0,0,,0,
test_017_physics_beginner_mechanics,2025-10-30T23:09:40.724008,physics,beginner,Classical Mechanics,136,10.158,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,12,12,0.0,0,0,0,,0,
test_018_physics_beginner_electricity,2025-10-30T23:09:53.169812,physics,beginner,Electricity and Magnetism,163,12.445,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,12,12,0.0,0,0,0,,0,
test_019_physics_intermediate_quantum,2025-10-30T23:10:04.449827,physics,intermediate,Quantum Mechanics I,135,11.279,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,27,20,0.0,0,0,0,,0,
test_020_physics_intermediate_thermodynamics,2025-10-30T23:10:14.812200,physics,intermediate,Thermodynamics and Statistical Mechanics,143,10.361,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.333,0.0,970,27,20,0.0,0,0,0,,0,
test_021_physics_advanced_particle_physics,2025-10-30T23:10:27.888246,physics,advanced,Particle Physics,149,13.075,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,37,20,0.0,0,0,0,,0,
