test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,semantic_avg_score,semantic_min_score,semantic_max_score,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_001_cs_beginner_intro_programming,2025-11-01T00:39:20.397028,computer_science,beginner,Introduction to Programming,160,12.852,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,7.5,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.32,0.221,0.456,0,0,0,,0,
test_002_cs_beginner_web_fundamentals,2025-11-01T00:39:36.089888,computer_science,beginner,Web Development Fundamentals,131,15.692,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,1.0,0.9,0.8,0.5,0.0,970,205,20,0.0,0.219,0.092,0.439,0,0,0,,0,
test_003_cs_beginner_databases,2025-11-01T00:39:46.404071,computer_science,beginner,Database Systems Fundamentals,110,10.313,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.241,0.126,0.459,0,0,0,,0,
test_004_cs_intermediate_data_structures,2025-11-01T00:40:08.058273,computer_science,intermediate,Data Structures and Algorithms,162,21.653,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0.624,0.608,0.644,0,0,0,,0,
test_005_cs_intermediate_oop,2025-11-01T00:40:30.180335,computer_science,intermediate,Object-Oriented Programming,128,22.121,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,402,20,0.0,0.408,0.391,0.455,0,0,0,,0,
test_006_cs_intermediate_web_backend,2025-11-01T00:40:50.572109,computer_science,intermediate,Backend Web Development,155,20.391,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.667,0.0,970,402,20,0.0,0.391,0.34,0.553,0,0,0,,0,
test_007_cs_advanced_machine_learning,2025-11-01T00:41:12.811218,computer_science,advanced,Machine Learning,158,22.238,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.47,0.457,0.483,0,0,0,,0,
test_008_cs_advanced_distributed_systems,2025-11-01T00:41:34.214959,computer_science,advanced,Distributed Systems,144,21.403,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.4,0.387,0.433,0,0,0,,0,
test_009_cs_advanced_compilers,2025-11-01T00:41:56.477101,computer_science,advanced,Compiler Design,137,22.261,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,1.0,0.9,0.8,0.5,0.0,970,372,20,0.0,0.437,0.415,0.461,0,0,0,,0,
test_010_cs_beginner_python_basics,2025-11-01T00:42:06.614616,computer_science,beginner,Python Programming,148,10.136,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,6.5,1,0.0,0.9,0.8,0.0,0.0,970,205,20,0.0,0.468,0.266,0.696,0,0,0,,0,
test_011_math_beginner_calculus,2025-11-01T00:42:18.406308,mathematics,beginner,Calculus I,160,11.791,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,8.0,1,0.0,0.9,0.8,0.5,0.0,970,113,20,0.0,0.383,0.345,0.515,0,0,0,,0,
test_012_math_beginner_linear_algebra,2025-11-01T00:42:34.619847,mathematics,beginner,Linear Algebra,154,16.212,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,113,20,0.0,0.469,0.406,0.54,0,0,0,,0,
test_013_math_beginner_statistics,2025-11-01T00:42:51.508182,mathematics,beginner,Introduction to Statistics,153,16.887,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,4,3,2,9,8.0,1,1.0,0.9,0.8,0.667,0.0,970,113,20,0.0,0.376,0.326,0.489,0,0,0,,0,
test_014_math_intermediate_real_analysis,2025-11-01T00:43:03.827421,mathematics,intermediate,Real Analysis,148,12.318,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,3,7,8.0,1,1.0,0.9,0.8,0.333,0.0,970,221,20,0.0,0.401,0.359,0.518,0,0,0,,0,
test_015_math_intermediate_abstract_algebra,2025-11-01T00:43:19.596996,mathematics,intermediate,Abstract Algebra,144,15.768,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,8.0,1,0.0,0.9,0.8,0.333,0.0,970,221,20,0.0,0.269,0.246,0.359,0,0,0,,0,
test_016_math_advanced_topology,2025-11-01T00:43:34.951395,mathematics,advanced,Topology,138,15.353,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,3,7,8.0,1,1.0,0.9,0.8,0.0,0.0,970,231,20,0.0,0.275,0.254,0.312,0,0,0,,0,
test_017_math_advanced_differential_equations,2025-11-01T00:43:51.323796,mathematics,advanced,Partial Differential Equations,151,16.371,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,8.0,1,0.0,0.9,0.8,0.333,0.0,970,231,20,0.0,0.345,0.334,0.37,0,0,0,,0,
