test_id,timestamp,domain,level,course_title,description_length,generation_time_sec,model_inference_time_sec,parsing_time_sec,markdown_valid,pipeline_success,total_tokens_generated,model_checkpoint,num_modules,num_activities,num_assessments,total_components,avg_module_hours,has_learning_objectives,prerequisite_accuracy,difficulty_progression,topic_diversity,blooms_taxonomy_coverage,overall_quality_score,num_modules_available,num_modules_filtered,num_modules_ranked,semantic_ranking_time_sec,quality_reranking_used,reranking_improved_quality,error_occurred,error_type,warning_count,validation_issues
test_001_cs_beginner_intro_programming,2025-10-30T21:02:37.330330,computer_science,beginner,Introduction to Programming,160,12.496,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,1,3,3,7,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_002_cs_beginner_web_fundamentals,2025-10-30T21:02:57.224783,computer_science,beginner,Web Development Fundamentals,131,19.894,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_003_cs_beginner_databases,2025-10-30T21:03:08.023359,computer_science,beginner,Database Systems Fundamentals,110,10.798,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,3,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_004_cs_intermediate_data_structures,2025-10-30T21:03:30.125467,computer_science,intermediate,Data Structures and Algorithms,162,22.101,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,3,9,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_005_cs_intermediate_oop,2025-10-30T21:03:52.405241,computer_science,intermediate,Object-Oriented Programming,128,22.279,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_006_cs_intermediate_web_backend,2025-10-30T21:04:12.164431,computer_science,intermediate,Backend Web Development,155,19.758,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_007_cs_advanced_machine_learning,2025-10-30T21:04:34.499599,computer_science,advanced,Machine Learning,158,22.334,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_008_cs_advanced_distributed_systems,2025-10-30T21:04:55.351986,computer_science,advanced,Distributed Systems,144,20.848,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_009_cs_advanced_compilers,2025-10-30T21:05:15.432358,computer_science,advanced,Compiler Design,137,20.08,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,3,3,2,8,0.0,1,1.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
test_010_math_beginner_calculus,2025-10-30T21:05:25.596265,mathematics,beginner,Calculus I,160,10.163,0.0,0.0,0,1,0,models/codet5-sequenced/checkpoint-196,2,3,2,7,0.0,1,0.0,0.0,0.8,0.0,0.0,0,0,0,0.0,0,0,0,,0,
